"","PC1","PC2","PC3"
"4_1990",-0.0678181136129539,0.13124711653186,0.121504150938952
"4_1991",-0.0505915280783115,0.144591366491586,0.0684369115346819
"4_1992",-0.0207240873745691,0.141059076062704,0.0334561295806507
"4_1993",-0.0370098077971547,0.138615568035054,0.0312044983052277
"4_1994",-0.0642365601093601,0.142267532453007,0.0318887247669793
"4_1995",-0.0977513151689036,0.0658760961739987,0.107020359955318
"4_1996",-0.0940561938473785,0.0959372209830033,0.105925281649324
"4_1997",-0.0638673958226566,0.146514027500894,0.021991260161654
"4_1998",-0.0548995985594105,0.152641107104856,0.0305113187469293
"4_1999",-0.0469249484596682,0.153336660123839,0.0216726709504819
"4_2000",-0.098897877916439,0.0625597292660009,0.165276193943503
"7_1990",-0.0996082965997559,-0.0315009443155819,0.0955048247790092
"7_1991",-0.0295518021225718,0.137355577196335,0.0297096139434991
"7_1992",-0.0271092964572079,0.146019720547513,0.0301557187423706
"7_1993",-0.0139475873532251,0.152566585877415,0.00249230851355742
"7_1994",-0.0472540628417299,0.147021576282909,0.0141215955314941
"7_1995",-0.102412031791279,-0.0568300889668688,0.0782736572968024
"7_1996",-0.10181090112004,0.0176460341569977,0.0801599680777277
"7_1997",-0.0590760089317384,0.137609224258943,0.0313591135304276
"7_1998",-0.0635277849569999,0.136371156571808,0.0332126852068094
"7_1999",-0.0417158783976005,0.141545984376386,0.0463975210425802
"7_2000",-0.0956747469897603,0.0654455740732708,0.0910500471008705
"8_1990",-0.105781170368591,-0.0308433608691069,0.186128719753405
"8_1991",-0.0830283138091476,0.124965608920464,0.191892293628436
"8_1992",-0.0378272806633285,0.163754987385947,0.133925341027971
"8_1993",-0.0642238549415836,0.154493552263312,0.193193015143305
"8_1994",-0.09205505765951,0.123282763959061,0.149937019018675
"8_1995",-0.094988637984824,-0.122970577742946,0.0986630325674227
"8_1996",-0.106915457840971,-0.05551468506451,0.150934009561369
"8_1997",-0.0839340529749432,0.131446735689361,0.157951529404209
"8_1998",-0.0700819541855808,0.141687526341438,0.171854950120245
"8_1999",-0.0749433792571201,0.147535030888206,0.137338816109576
"8_2000",-0.098487267674212,0.0396370170315476,0.206350555478199
"9_1990",-0.0950777365815398,-0.126281965325311,0.0714598148780793
"9_1991",-0.0687496162365428,0.129624575064831,0.133036275024995
"9_1992",-0.094496733694668,0.105873877699059,0.0488212515783389
"9_1993",-0.0890805173757584,0.124871258489903,0.0406482972589695
"9_1994",-0.110872807631288,0.0140135712748135,0.0301316100844253
"9_1997",-0.112865675274809,2.89053654752729e-05,0.0463175640537643
"9_1998",-0.0934469216943651,0.116419768108803,0.0309803082599685
"9_1999",-0.0655462448276688,0.149677629118024,0.0558321654970148
"9_2000",-0.107581541429019,-0.00175533389334671,0.010977226914298
"13_1990",-0.0975204512031786,0.0184355953270657,0.107719746973875
"13_1991",-0.0312599339217873,0.130997427975499,0.0603746836264154
"13_1992",-0.0212928882164471,0.116529117391446,0.00738591454150785
"13_1993",-0.0232754695995915,0.122868610339263,-4.71502788141951e-05
"13_1994",-0.0672765284441423,0.128730805626212,0.0479721682264836
