"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"4_1990",-0.0678181136129539,0.13124711653186,0.121504150938952,0.237164567334949,0.291401472123483,0.118517228654511,0.00174061164996381
"4_1991",-0.0505915280783115,0.144591366491586,0.0684369115346819,0.27541845997182,0.126702410505545,0.0238638690292717,-0.031343491286952
"4_1992",-0.0207240873745691,0.141059076062704,0.0334561295806507,0.305166305033421,-0.0223654217736821,-0.0104003206303339,-0.0593586334304847
"4_1993",-0.0370098077971547,0.138615568035054,0.0312044983052277,0.325966167695644,0.0645023493656896,0.0564350365291381,-0.000593387745329618
"4_1994",-0.0642365601093601,0.142267532453007,0.0318887247669793,0.263443850857565,0.240377523706826,0.0110811975476293,0.0479673010021432
"4_1995",-0.0977513151689036,0.0658760961739987,0.107020359955318,0.201821857415485,0.516884441596681,0.0686154712097269,0.202052231314419
"4_1996",-0.0940561938473785,0.0959372209830033,0.105925281649324,0.181997500084328,0.497182535488055,0.0391977729467911,0.173845991506216
"4_1997",-0.0638673958226566,0.146514027500894,0.021991260161654,0.256105053608184,0.225296217166888,0.00952854262968448,0.158555929763712
"4_1998",-0.0548995985594105,0.152641107104856,0.0305113187469293,0.259748655736837,0.183277503775657,0.0447564707344117,0.136025659861458
"4_1999",-0.0469249484596682,0.153336660123839,0.0216726709504819,0.267624636740722,0.105601753076793,0.0121573947613496,0.122221997282913
"4_2000",-0.098897877916439,0.0625597292660009,0.165276193943503,0.156512723286705,0.495538660334573,-0.0430989819577585,0.134680659152388
"7_1990",-0.0996082965997559,-0.0315009443155819,0.0955048247790092,0.0655288472394237,0.545154150390287,0.179040630975519,0.257876598214548
"7_1991",-0.0295518021225718,0.137355577196335,0.0297096139434991,0.0256513757900352,0.262076299110338,0.291310154369237,0.168100653590188
"7_1992",-0.0271092964572079,0.146019720547513,0.0301557187423706,0.0280582143949634,0.211080373117576,0.252098483684514,0.192198858216134
"7_1993",-0.0139475873532251,0.152566585877415,0.00249230851355742,0.0511475882227992,0.175780877810596,0.222884610280092,0.139794427691869
"7_1994",-0.0472540628417299,0.147021576282909,0.0141215955314941,0.12081872497634,0.315965432915392,0.243029919061371,0.202812981142222
"7_1995",-0.102412031791279,-0.0568300889668688,0.0782736572968024,0.0824893052041622,0.538924649365243,0.0971297510805945,0.324017381051827
"7_1996",-0.10181090112004,0.0176460341569977,0.0801599680777277,0.131429762416485,0.606068590530999,0.10254435820788,0.328030072300647
"7_1997",-0.0590760089317384,0.137609224258943,0.0313591135304276,0.115321974950429,0.344276349526642,0.191336209028096,0.280052348189495
"7_1998",-0.0635277849569999,0.136371156571808,0.0332126852068094,0.125081010854788,0.385619418124495,0.171350495465279,0.252453208563305
