"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,4.59819858650393
"2","Exec, Admin, and Managerial",1,"1985",1,3.86031576478273
"3","Exec, Admin, and Managerial",1,"1990",1,5.01143612636504
"4","Exec, Admin, and Managerial",1,"1995",1,5.30703964594484
"5","Management",2,"1980",1,6.05444011613748
"6","Management",2,"1985",1,4.51118299152937
"7","Management",2,"1990",1,4.57474977616836
"8","Management",2,"1995",1,5.79045201043522
"9","Professional",3,"1980",1,18.9450986205213
"10","Professional",3,"1985",1,18.5871000704239
"11","Professional",3,"1990",1,15.231006364164
"12","Professional",3,"1995",1,14.4782568069937
"13","Technicians",4,"1980",2,12.7930026790598
"14","Technicians",4,"1985",2,12.0679437299667
"15","Technicians",4,"1990",2,10.2666237647707
"16","Technicians",4,"1995",2,7.71888310270958
"17","Sales",5,"1980",2,5.13080914517132
"18","Sales",5,"1985",2,5.24970589871914
"19","Sales",5,"1990",2,4.93026108214623
"20","Sales",5,"1995",2,5.60914091723795
"21","Admin",6,"1980",2,5.26163493156089
"22","Admin",6,"1985",2,5.00168428399027
"23","Admin",6,"1990",2,4.53084841699389
"24","Admin",6,"1995",2,5.02980435829701
"25","Cleaning",7,"1980",3,1.47797755453649
"26","Cleaning",7,"1985",3,3.32516158989288
"27","Cleaning",7,"1990",3,4.37661109219159
"28","Cleaning",7,"1995",3,2.89170323311177
"29","Protection",8,"1980",3,0.871487608819312
"30","Protection",8,"1985",3,1.7461179678739
"31","Protection",8,"1990",3,1.52618263642618
"32","Protection",8,"1995",3,1.53788749162993
"33","Food prep.",9,"1980",3,2.09646628992111
"34","Food prep.",9,"1985",3,1.9638593678926
"35","Food prep.",9,"1990",3,1.51500409196615
"36","Food prep.",9,"1995",3,1.37430190630183
"37","Health supp.",10,"1980",3,1.6048066380818
"38","Health supp.",10,"1985",3,1.88478831361859
"39","Health supp.",10,"1990",3,1.09338002715471
"40","Health supp.",10,"1995",3,1.01770329602017
"41","Building maintenance",11,"1980",3,2.72994306289225
"42","Building maintenance",11,"1985",3,2.89080934343395
"43","Building maintenance",11,"1990",3,3.02808244076983
"44","Building maintenance",11,"1995",3,5.39287012477754
"45","Personal care",12,"1980",3,8.63144789746108
"46","Personal care",12,"1985",3,8.76388873246845
"47","Personal care",12,"1990",3,6.93396350942627
"48","Personal care",12,"1995",3,6.63693566469198
"49","Farm/Fish/Forest",13,"1980",4,2.18264199734112
"50","Farm/Fish/Forest",13,"1985",4,4.01727307468987
"51","Farm/Fish/Forest",13,"1990",4,4.99658418616867
"52","Farm/Fish/Forest",13,"1995",4,6.27741726361359
"53","Mechanic/Repair",14,"1980",5,7.80852534773133
"54","Mechanic/Repair",14,"1985",5,7.73531137722569
"55","Mechanic/Repair",14,"1990",5,8.01639514749956
"56","Mechanic/Repair",14,"1995",5,7.03191719910965
"57","Construction",15,"1980",5,5.51963561915138
"58","Construction",15,"1985",5,5.35603184772633
"59","Construction",15,"1990",5,7.49975309274971
"60","Construction",15,"1995",5,7.93064668010658
"61","Extraction",16,"1980",5,8.9550865259379
"62","Extraction",16,"1985",5,4.93629729862094
"63","Extraction",16,"1990",5,5.85837225253514
"64","Extraction",16,"1995",5,9.98462788614926
"65","Production",17,"1980",5,9.07607808603136
"66","Production",17,"1985",5,9.39826348246541
"67","Production",17,"1990",5,8.37639472083142
"68","Production",17,"1995",5,11.0697347889181
"69","Machinists",18,"1980",6,8.09168177106173
"70","Machinists",18,"1985",6,6.38875084947468
"71","Machinists",18,"1990",6,5.82066524820629
"72","Machinists",18,"1995",6,6.64309186998128
"73","Transport/Material moving",19,"1980",6,6.01715823527539
"74","Transport/Material moving",19,"1985",6,5.19453954190115
"75","Transport/Material moving",19,"1990",6,6.23929855979268
"76","Transport/Material moving",19,"1995",6,6.27706784106319
