"","PC1","PC2","PC3","PC4"
"4_1950",0.00859870966547275,-0.0640289121656964,-0.314403898506778,0.121609992478622
"4_1951",0.00408367024767948,-0.0917547183622318,-0.271318213927649,0.0734630358259703
"4_1952",-0.0155217173118347,-0.112095185255568,-0.28955318388123,0.0552982281566271
"4_1953",-0.0239167278911928,-0.115736641336886,-0.300683330760952,0.067443165881841
"4_1954",-0.0283942021987582,-0.117057269593714,-0.304006055409971,0.0288941231994815
"4_1955",-0.0122573860756373,-0.111265912075076,-0.281094745708227,0.0167457030876101
"4_1956",0.0113189526579403,-0.0972094599196908,-0.187462866173801,-0.0306713213304769
"4_1957",0.00356172556118835,-0.0915463530734363,-0.271912956730262,0.0102174244322408
"4_1958",-0.0468806259478391,-0.140309540581132,-0.242448659554519,-0.0193847122988534
"4_1959",-0.053557600039807,-0.134774450238739,-0.247471006576038,-0.0428253586015149
"7_1950",-0.0438287141393279,-0.0366913933785665,-0.118702149090138,-0.129007046210751
"7_1951",-0.00873698601628191,-0.0392289851547668,-0.0779051666124413,-0.123773360449217
"7_1952",-0.00520216653587279,-0.0686162960441613,-0.0887294165770569,-0.169819294196688
"7_1953",-0.0368483222541378,-0.0845907508832389,-0.147194603786012,-0.174455177511734
"7_1954",-0.0522812196323893,-0.0657620885892443,-0.167341851142943,-0.15405450719782
"7_1955",-0.0320871992048848,-0.090522382093477,-0.144264793670011,-0.176938894909237
"7_1956",-0.0105939302926796,-0.0347882535014634,-0.0945813302756728,-0.188163871760901
"7_1957",-0.0111985180639377,-0.0301404251647602,-0.0731785578423443,-0.162792932620099
"7_1958",-0.0572580333366057,-0.0860602810673057,-0.130013381325554,-0.207209004254026
"7_1959",-0.0325385218126111,-0.0893669289156924,-0.142076602197115,-0.210727699164318
"8_1950",-0.001561743967236,-0.0916390575596978,-0.0877557686704649,-0.220169273791103
"8_1951",-0.00420016720692053,-0.0984442110251409,-0.0174235863406005,-0.211247957718151
"8_1952",0.0319339642809841,-0.0565897724565068,0.0214064411449698,-0.100062742307148
"8_1953",0.0291210908896639,-0.0595696624299946,0.00254213029141623,-0.113262273556964
"8_1954",-0.0324376140840104,-0.13084464877472,-0.101319435793345,-0.210158010365889
"8_1955",-0.0420387593857629,-0.132237013273653,-0.0250759397648199,-0.230468167056198
"8_1956",0.0138643034229095,-0.0724843631600951,-0.050191047767551,-0.212439418244036
"8_1957",0.0143472692227225,-0.0826194505801649,-0.0992264028027446,-0.111870221884279
"8_1958",-0.039553643092916,-0.114040465917741,-0.0436729990718385,-0.271142643390548
"8_1959",-0.0798327252081314,-0.0973495759472375,-0.0512793497475919,-0.323777726386909
"9_1950",-0.0259440607315659,-0.11154702913903,-0.128159837091768,0.0595613119569137
"9_1951",-0.0283133819903739,-0.133946684020244,-0.0230277220283977,0.0639852746237803
"9_1952",-0.040610213569657,-0.144652832233849,-0.113911676788688,0.0176529409304304
"9_1953",-0.0430235610479917,-0.136096288307539,-0.154133530294252,-0.0900893844722988
"9_1954",-0.0517405964545927,-0.13178894933966,-0.151432530340471,-0.0902487109933274
"9_1955",-0.0484309680379875,-0.123928561052287,-0.141048213998906,-0.117397492226801
"9_1956",-0.029035622336106,-0.116172778179285,-0.052334091725426,-0.0714744447086972
"9_1957",-0.0291347085156827,-0.113999170202281,-0.100942359741176,-0.135463119824318
"9_1958",-0.0665248675330449,-0.109887149818589,-0.107802268510132,-0.235636115065921
"9_1959",-0.0794990322987062,-0.0810369379981196,-0.0902705510883688,-0.221740117127258
"13_1950",-0.0073084946141628,-0.0620491116156119,-0.339534729846172,0.0938024535885865
"13_1951",0.0163579659692206,-0.0519068578868339,-0.279544247224354,0.0499834891957113
"13_1952",-0.0326264826438735,-0.0991896205519658,-0.319503071975313,0.0135142805838415
"13_1953",0.000911564754780193,-0.0768919297245629,-0.314885540038157,0.0460658569690114
"13_1954",-0.0176558868477989,-0.0820865508950022,-0.336245637931385,-0.00646017374939573
"13_1955",-0.0312906777506109,-0.0642521482305458,-0.358780769600108,0.0460866549582839
"13_1956",0.000708579111758451,-0.0551985799078302,-0.328367624786455,0.0570690898245086
"13_1957",-0.00801415786874633,-0.0562663964187603,-0.337073846606411,0.0268027097911946
"13_1958",-0.0312435007137624,-0.105715866405944,-0.307992027411991,-0.0639805184138615
"13_1959",-0.0312316934632222,-0.0914773741475808,-0.325791287847262,-0.0653905753618301
"14_1950",0.0356490083544447,-0.0136769550475892,-0.0744525833302314,-0.116159549949575
"14_1951",0.0518467908506286,0.00848419189737453,-0.0357259553607498,-0.0864280468556565
"14_1952",0.0309639161655786,-0.0723651858569225,-0.0327994806985644,-0.00155933048775328
"14_1953",0.0159067957649545,-0.0792751309535783,-0.100896176710362,-0.0450313555112288
"14_1954",0.00971347162271738,-0.0914171439505332,-0.109534669634303,-0.103183286586665
"14_1955",0.0327809849673082,-0.0497391892358458,-0.0168781455619777,-0.137771388171169
"14_1956",0.0488732070249846,0.00752956698594175,-0.0230559707988021,-0.157724349296865
"14_1957",0.0452082940281039,-0.00632034007395227,-0.0393700889979612,-0.117176325447542
"14_1958",0.0276050812750127,-0.0628597606286454,-0.077217106462415,-0.144450263962517
"14_1959",0.0178955723402995,-0.0719211100876826,-0.0495729284538946,-0.198828636830475
"15_1950",0.0246770882135608,-0.0272427749352393,-0.229516321208415,-0.0501701547992098
"15_1951",0.0379150506750034,-0.03531126012919,0.00613931809853462,-0.0707561591911095
"15_1952",-0.0010683310814323,-0.114353032068951,-0.0941459103453358,-0.0538889685694166
"15_1953",0.0396885256752155,-0.0113832677307602,-0.0967276653299104,-0.165466379443789
"15_1954",0.0368242688682412,-0.0364717664964392,-0.150111326148291,-0.00854980461965036
"15_1955",-0.0121114378743128,-0.0869686604570113,-0.0627278236418041,-0.260402373280068
"15_1956",-0.0299909181551388,-0.108596053275035,-0.0677797727370638,-0.2612352591193
