"","X1","X2","X3","occ1990dd"
"1",-4.52575295777762,-7.29264703076738,6.76456498082327,4
"2",-5.8947758436711,-5.70105588813976,4.4951790213826,7
"3",-6.83598909328224,-7.30976635969199,3.2615022845755,8
"4",-15.1676974462872,-5.70423542583399,9.5400971395826,9
"5",-7.14948021475151,-11.8037258529344,8.50067177858171,13
"6",1.059944571197,-3.79804226760367,-1.17162745234687,14
"7",-4.8737904860358,-6.56775882817757,-0.332470444816656,15
"8",-3.28049548551887,-3.0968824700501,5.97402228404158,18
"9",-8.95337656826708,-2.49063472012738,3.16961857911733,22
"10",-0.546584911919575,-4.18054643011497,1.20462217909564,23
"11",4.54871554174936,0.276372731937894,-1.03249988318953,24
"12",-6.45220068941384,-5.78996478006425,3.01036590083377,25
"13",-13.203708702405,-8.89443657702066,6.50669312530371,26
"14",4.18942135418049,1.54563481295825,1.09739085197418,28
"15",4.94446113610757,0.864736500959162,-0.382763997593496,29
"16",-3.19140178947705,-1.41399317840387,4.86956940925062,33
"17",0.633579544834451,-4.25406322206068,2.88198576229821,34
"18",1.96665497547497,3.93730085918426,-0.190778193849554,35
"19",0.473873602894762,-4.14223904730436,1.92615267081986,36
"20",-2.85959023121967,1.51262173361642,0.805767892437079,43
"21",-33.6580401355161,9.20091655249773,-3.00233359649171,44
"22",-30.5783438707511,5.47295195075245,-1.93112305081026,45
"23",-16.0343072175448,3.17576257057539,0.743853462689207,47
"24",-24.9581715786179,3.15698421565357,-1.51968650709747,48
"25",-14.6324452073468,5.7597624738053,0.154476504191074,53
"26",-20.9447636412667,6.23042004506349,-0.311654869197213,55
"27",-26.6092393782002,7.17075840552889,1.35427898983634,56
"28",-24.5579826879087,9.87280740710012,0.766950007239398,57
"29",-14.3745741675147,7.04737751251894,0.435431682380246,58
"30",-23.2913582011358,4.30038818517562,-1.51920689897647,59
"31",-25.8482947744973,0.228762701485791,-2.30816717510637,64
"32",-27.7759014510199,0.425463640462334,-0.827693496919296,65
"33",3.10079917077141,-0.886682777388786,-1.70386038874407,66
"34",-13.3830814849946,-1.7091173900283,-6.7925415619462,68
"35",-25.8566345737016,2.55115837420447,-6.99798776636493,69
"36",-12.1529584866671,-1.80665735529002,-5.50585789923391,73
"37",0.117950907608239,-1.4890978196382,-0.370201858407154,75
"38",-9.9284960112131,-3.73832989932415,-4.31705231920604,76
"39",-13.2185437313357,-2.40357137651325,-1.65891488250971,77
"40",-17.5392541552627,-3.30192876186405,-9.62013202435887,78
