"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,5.85248022956172
"2","Exec, Admin, and Managerial",1,"1985",1,5.30385275402296
"3","Exec, Admin, and Managerial",1,"1990",1,6.75957016074692
"4","Exec, Admin, and Managerial",1,"1995",1,6.66854223083369
"5","Management",2,"1980",1,9.07825621403623
"6","Management",2,"1985",1,8.24577975309117
"7","Management",2,"1990",1,7.79005873719954
"8","Management",2,"1995",1,7.60211052786309
"9","Professional",3,"1980",1,24.4498132510112
"10","Professional",3,"1985",1,23.8854715327202
"11","Professional",3,"1990",1,20.4635880984625
"12","Professional",3,"1995",1,18.5002961526805
"13","Technicians",4,"1980",2,17.1294137314784
"14","Technicians",4,"1985",2,15.4799982204297
"15","Technicians",4,"1990",2,13.4228127498163
"16","Technicians",4,"1995",2,10.3237456193376
"17","Sales",5,"1980",2,8.20865542557006
"18","Sales",5,"1985",2,7.47196768883794
"19","Sales",5,"1990",2,6.75685195701077
"20","Sales",5,"1995",2,7.37654843769247
"21","Admin",6,"1980",2,8.86928569454191
"22","Admin",6,"1985",2,8.23693080089289
"23","Admin",6,"1990",2,6.63249964540997
"24","Admin",6,"1995",2,7.38937257425614
"25","Cleaning",7,"1980",3,2.19423898154525
"26","Cleaning",7,"1985",3,5.22544670469699
"27","Cleaning",7,"1990",3,4.71679338467093
"28","Cleaning",7,"1995",3,4.17175895678874
"29","Protection",8,"1980",3,1.34987119015403
"30","Protection",8,"1985",3,2.19668347816909
"31","Protection",8,"1990",3,2.09499466592676
"32","Protection",8,"1995",3,2.14133608392207
"33","Food prep.",9,"1980",3,3.09499627334979
"34","Food prep.",9,"1985",3,2.83297512207669
"35","Food prep.",9,"1990",3,2.33137819994981
"36","Food prep.",9,"1995",3,2.27848676171882
"37","Health supp.",10,"1980",3,1.99546917608877
"38","Health supp.",10,"1985",3,2.1393735056733
"39","Health supp.",10,"1990",3,1.5887832319643
"40","Health supp.",10,"1995",3,1.28086286022777
"41","Building maintenance",11,"1980",3,4.33458161874789
"42","Building maintenance",11,"1985",3,3.5162297073254
"43","Building maintenance",11,"1990",3,3.97714558205498
"44","Building maintenance",11,"1995",3,6.98522876814801
"45","Personal care",12,"1980",3,10.8390773624022
"46","Personal care",12,"1985",3,11.6482366953745
"47","Personal care",12,"1990",3,9.3317539766166
"48","Personal care",12,"1995",3,8.03267056683642
"49","Farm/Fish/Forest",13,"1980",4,3.83111964391444
"50","Farm/Fish/Forest",13,"1985",4,5.05370547559752
"51","Farm/Fish/Forest",13,"1990",4,6.83479762759333
"52","Farm/Fish/Forest",13,"1995",4,8.46533977344546
"53","Mechanic/Repair",14,"1980",5,10.0647165003982
"54","Mechanic/Repair",14,"1985",5,10.548776954471
"55","Mechanic/Repair",14,"1990",5,10.7135395373881
"56","Mechanic/Repair",14,"1995",5,11.2672202751716
"57","Construction",15,"1980",5,7.08286240963822
"58","Construction",15,"1985",5,7.47323056573618
"59","Construction",15,"1990",5,10.3071463145309
"60","Construction",15,"1995",5,10.3012839887539
"61","Extraction",16,"1980",5,17.8158306369471
"62","Extraction",16,"1985",5,13.8601451453155
"63","Extraction",16,"1990",5,10.4455465547109
"64","Extraction",16,"1995",5,14.4177352013975
"65","Production",17,"1980",5,10.5906946243403
"66","Production",17,"1985",5,11.8065101387864
"67","Production",17,"1990",5,10.5563464679621
"68","Production",17,"1995",5,13.9287639502021
"69","Machinists",18,"1980",6,11.166854393231
"70","Machinists",18,"1985",6,10.1109104210359
"71","Machinists",18,"1990",6,8.57285288890015
"72","Machinists",18,"1995",6,10.5038093816418
"73","Transport/Material moving",19,"1980",6,8.16629777158245
"74","Transport/Material moving",19,"1985",6,8.62640926865438
"75","Transport/Material moving",19,"1990",6,9.4045474476651
"76","Transport/Material moving",19,"1995",6,9.08617873733051
