"","occupation","2digit occ","decade","1digit occ","mean_distance"
"1","Exec, Admin, and Managerial",1,"1980",1,3.81252329455435
"2","Exec, Admin, and Managerial",1,"1985",1,3.35976194617374
"3","Exec, Admin, and Managerial",1,"1990",1,4.21146034358012
"4","Exec, Admin, and Managerial",1,"1995",1,4.19778123522984
"5","Management",2,"1980",1,5.26909404397926
"6","Management",2,"1985",1,4.04367013629568
"7","Management",2,"1990",1,4.38541239437295
"8","Management",2,"1995",1,5.26128680588481
"9","Professional",3,"1980",1,16.7292785561291
"10","Professional",3,"1985",1,16.337180884918
"11","Professional",3,"1990",1,13.6772265860244
"12","Professional",3,"1995",1,12.4170246938746
"13","Technicians",4,"1980",2,11.3191172655801
"14","Technicians",4,"1985",2,10.1821333317921
"15","Technicians",4,"1990",2,8.95164531659015
"16","Technicians",4,"1995",2,6.25729191724861
"17","Sales",5,"1980",2,3.90249101159497
"18","Sales",5,"1985",2,4.66106956235234
"19","Sales",5,"1990",2,4.49755261721774
"20","Sales",5,"1995",2,4.83642408422963
"21","Admin",6,"1980",2,4.65590441648099
"22","Admin",6,"1985",2,4.09000631411763
"23","Admin",6,"1990",2,3.77676928127168
"24","Admin",6,"1995",2,4.29156006651773
"25","Cleaning",7,"1980",3,1.18518961674008
"26","Cleaning",7,"1985",3,2.87780141951237
"27","Cleaning",7,"1990",3,3.70131600469001
"28","Cleaning",7,"1995",3,2.51816706101048
"29","Protection",8,"1980",3,0.43384754533227
"30","Protection",8,"1985",3,0.873623365544005
"31","Protection",8,"1990",3,0.937038325795329
"32","Protection",8,"1995",3,1.1370984136265
"33","Food prep.",9,"1980",3,1.78370676338039
"34","Food prep.",9,"1985",3,1.59498951809459
"35","Food prep.",9,"1990",3,1.0905932196089
"36","Food prep.",9,"1995",3,1.14049581405862
"37","Health supp.",10,"1980",3,1.27423037824319
"38","Health supp.",10,"1985",3,1.51613286513008
"39","Health supp.",10,"1990",3,0.96377519612279
"40","Health supp.",10,"1995",3,0.805480668111253
"41","Building maintenance",11,"1980",3,2.16762233052494
"42","Building maintenance",11,"1985",3,2.236120286027
"43","Building maintenance",11,"1990",3,2.32038924345419
"44","Building maintenance",11,"1995",3,4.652192588462
"45","Personal care",12,"1980",3,6.97179130389718
"46","Personal care",12,"1985",3,7.26843075690218
"47","Personal care",12,"1990",3,5.38453775443044
"48","Personal care",12,"1995",3,5.07916532334381
"49","Farm/Fish/Forest",13,"1980",4,1.83096832457727
"50","Farm/Fish/Forest",13,"1985",4,3.73865496692734
"51","Farm/Fish/Forest",13,"1990",4,4.19338741740937
"52","Farm/Fish/Forest",13,"1995",4,5.12690245240934
"53","Mechanic/Repair",14,"1980",5,6.51410936081515
"54","Mechanic/Repair",14,"1985",5,6.48579311920765
"55","Mechanic/Repair",14,"1990",5,6.18664299212855
"56","Mechanic/Repair",14,"1995",5,5.78373493488761
"57","Construction",15,"1980",5,4.63716379236714
"58","Construction",15,"1985",5,4.50946069084762
"59","Construction",15,"1990",5,6.23046195808822
"60","Construction",15,"1995",5,6.26725507265995
"61","Extraction",16,"1980",5,7.31470839551398
"62","Extraction",16,"1985",5,4.27183583910467
"63","Extraction",16,"1990",5,5.17877667714322
"64","Extraction",16,"1995",5,8.80468546949163
"65","Production",17,"1980",5,8.26418256146557
"66","Production",17,"1985",5,8.70168262819365
"67","Production",17,"1990",5,7.2776107898987
"68","Production",17,"1995",5,9.48095197312855
"69","Machinists",18,"1980",6,7.13163126699679
"70","Machinists",18,"1985",6,5.30790980402758
"71","Machinists",18,"1990",6,4.48958804070381
"72","Machinists",18,"1995",6,5.31421280290439
"73","Transport/Material moving",19,"1980",6,4.75908126388617
"74","Transport/Material moving",19,"1985",6,4.78049487457626
"75","Transport/Material moving",19,"1990",6,5.21183737505633
"76","Transport/Material moving",19,"1995",6,4.65117892369736
