"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",10.2219514172621
"2","Manage/Professional",1,"1985",9.87866710430623
"3","Manage/Professional",1,"1990",9.66246248236707
"4","Manage/Professional",1,"1995",9.12363018859065
"5","Tech/Sales/Admin",2,"1980",6.50916155837256
"6","Tech/Sales/Admin",2,"1985",6.06634101781042
"7","Tech/Sales/Admin",2,"1990",5.86272370402187
"8","Tech/Sales/Admin",2,"1995",5.73039289820784
"9","Service",3,"1980",4.36765367557985
"10","Service",3,"1985",4.76490102493082
"11","Service",3,"1990",3.81138466192467
"12","Service",3,"1995",3.88063112092779
"13","Farm/Fish/Forest",4,"1980",1.82795766379372
"14","Farm/Fish/Forest",4,"1985",3.73274784216825
"15","Farm/Fish/Forest",4,"1990",4.18692596030293
"16","Farm/Fish/Forest",4,"1995",5.12069307096617
"17","Operators",6,"1980",6.91683299240242
"18","Operators",6,"1985",6.49124859170723
"19","Operators",6,"1990",5.94250722031805
"20","Operators",6,"1995",6.95973255215126
