"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",12.2638234748664
"2","Manage/Professional",1,"1985",11.6535783754828
"3","Manage/Professional",1,"1990",11.4489542992514
"4","Manage/Professional",1,"1995",10.9471631153053
"5","Tech/Sales/Admin",2,"1980",7.81055166577049
"6","Tech/Sales/Admin",2,"1985",7.13068560370172
"7","Tech/Sales/Admin",2,"1990",6.61899843194923
"8","Tech/Sales/Admin",2,"1995",7.16159613647886
"9","Service",3,"1980",5.58150688794273
"10","Service",3,"1985",5.65598427038094
"11","Service",3,"1990",4.62670035676487
"12","Service",3,"1995",4.59555637593981
"13","Farm/Fish/Forest",4,"1980",2.18612022218658
"14","Farm/Fish/Forest",4,"1985",4.02371673713046
"15","Farm/Fish/Forest",4,"1990",5.00497849808507
"16","Farm/Fish/Forest",4,"1995",6.28564613980505
"17","Operators",6,"1980",8.15973556967985
"18","Operators",6,"1985",7.4353718299179
"19","Operators",6,"1990",7.30942661299533
"20","Operators",6,"1995",8.52683055154346
