"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",16.4566829805407
"2","Manage/Professional",1,"1985",15.761609193137
"3","Manage/Professional",1,"1990",15.4498703536908
"4","Manage/Professional",1,"1995",14.3020376034311
"5","Tech/Sales/Admin",2,"1980",13.8365313645285
"6","Tech/Sales/Admin",2,"1985",12.2845202204777
"7","Tech/Sales/Admin",2,"1990",10.7809291293701
"8","Tech/Sales/Admin",2,"1995",10.6384362963385
"9","Service",3,"1980",7.88187140022479
"10","Service",3,"1985",7.56661317153234
"11","Service",3,"1990",5.96789290374388
"12","Service",3,"1995",6.15366529213332
"13","Farm/Fish/Forest",4,"1980",3.83111964391444
"14","Farm/Fish/Forest",4,"1985",5.05370547559752
"15","Farm/Fish/Forest",4,"1990",6.83479762759333
"16","Farm/Fish/Forest",4,"1995",8.46533977344546
"17","Operators",6,"1980",10.7217416847662
"18","Operators",6,"1985",10.8347405742425
"19","Operators",6,"1990",10.1817807130934
"20","Operators",6,"1995",12.0991852370245
