"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",12.2429121514881
"2","Manage/Professional",1,"1985",11.6334338444464
"3","Manage/Professional",1,"1990",11.4297825414734
"4","Manage/Professional",1,"1995",10.9292239907581
"5","Tech/Sales/Admin",2,"1980",7.79829483057974
"6","Tech/Sales/Admin",2,"1985",7.11942723167735
"7","Tech/Sales/Admin",2,"1990",6.60913643369774
"8","Tech/Sales/Admin",2,"1995",7.15132843414696
"9","Service",3,"1980",5.57144894368404
"10","Service",3,"1985",5.6462306586183
"11","Service",3,"1990",4.61825836235605
"12","Service",3,"1995",4.58856102174452
"13","Farm/Fish/Forest",4,"1980",2.18264199734112
"14","Farm/Fish/Forest",4,"1985",4.01727307468987
"15","Farm/Fish/Forest",4,"1990",4.99658418616867
"16","Farm/Fish/Forest",4,"1995",6.27741726361359
"17","Operators",6,"1980",8.14674659727104
"18","Operators",6,"1985",7.42403194718741
"19","Operators",6,"1990",7.29782571778651
"20","Operators",6,"1995",8.51298328272025
