"","PC1","PC2","PC3","PC4"
"4_1940",-0.00257797134665567,0.0439037462872015,-0.276662172270977,-0.0758266249108174
"4_1941",-0.00789375570100852,0.0601441980667278,-0.263648733141629,-0.0818023612610843
"4_1942",-0.0136099178651907,0.113219514467144,-0.187293811228629,-0.0106648159358837
"4_1943",0.00418156275766387,0.0995852377175111,-0.153878109329894,0.0453374119645932
"4_1944",-0.0864912512854751,0.131034245435767,-0.154102311520045,-0.00820656320283905
"4_1945",-0.0908702012420113,0.0844870314002197,-0.234023520853752,-0.0739248136150155
"4_1946",-0.0662989992092051,0.0921152005980507,-0.256871278281343,-0.119955929787276
"4_1947",-0.0823754107199607,0.069206057737395,-0.289208391500216,-0.0507356215163261
"4_1948",-0.0674305401896053,0.101057129706626,-0.269117058485093,-0.0638992846563418
"4_1949",-0.0590368417945693,0.0842430639003827,-0.29609254066784,-0.058725670410325
"7_1940",0.00903251336394142,0.0116268823384923,-0.13066579082559,0.120477485281754
"7_1941",-0.0164864453784538,0.0125435157422423,-0.161389427377285,0.14252996012507
"7_1942",0.0322098404725878,0.0123947681163821,-0.122265779099417,0.174681929066917
"7_1943",0.00397823210739571,0.0561162306521549,-0.0800501435929026,0.182895376476494
"7_1944",0.00612219341965563,0.0780624479123793,-0.0994932995282997,0.108102684792429
"7_1945",-0.0341178954870669,0.06090458429792,-0.078826709068224,0.145245273469983
"7_1946",-0.0492342270068382,0.0290444767875483,-0.0795227920834593,0.158091327451851
"7_1947",-0.0620191671100992,0.0236259136507937,-0.125732837526055,0.174987447208806
"7_1948",-0.0027444278458031,0.0739801722906261,-0.138277632345079,0.132351504869156
"7_1949",-0.0645771027346902,0.0413617163554076,-0.174735322395652,0.158043918416627
"8_1940",0.0188721399356073,0.0611979121487375,-0.119607675436152,0.127558986336136
"8_1941",0.00713812019270914,0.101155797853776,-0.0876583699675443,0.0846183362379989
"8_1942",0.0123292062924319,0.108103899457791,0.0276092872941851,0.148315693470048
"8_1943",0.0292593001812071,0.0592438541955933,-0.0501777515023292,0.214247303371484
"8_1944",0.0672429255321161,-0.00107186744476036,-0.0591312965044311,0.0453084349795035
"8_1945",0.00487856981058595,0.0533318100320167,-0.145472232155993,0.143277922940654
"8_1946",0.0303392994777015,0.0257642790838394,-0.167086929611312,-0.0280876635111296
"8_1947",0.0224323419129276,0.034253199945858,-0.153627969955702,0.128741639249817
"8_1948",0.0403146434552553,0.0354672886926668,-0.161623364020751,0.0465615815030202
"8_1949",0.0328368945064079,0.04488039385565,-0.174428862031372,0.067290091796357
"9_1940",-0.0475992593393971,0.0939054256035268,-0.082330333865118,-0.0207083969512347
"9_1941",-0.0738855416929198,0.0848091541156035,0.0183334736640918,0.100625995570231
"9_1942",-0.0780445543733799,0.0996959007761814,0.0647954984873498,0.0776381793826245
"9_1943",-0.060673534676015,0.0928272718438305,0.0557703247313546,0.208587579788287
"9_1944",-0.0260157475684478,0.110897684214422,-0.0640441584115999,0.147319223430966
"9_1945",-0.0184091513815513,0.0984878716932566,-0.018178812069453,0.0253863787200695
"9_1946",-0.0642999907250748,0.129465499412429,0.000963656246477877,0.0703776732046379
"9_1947",-0.0611182765818719,0.130469062515112,-0.0976784687364314,-0.0509763096584322
"9_1948",-0.0209649707889806,0.105754057198421,-0.151631528860216,0.150372180352901
"9_1949",-0.0727791011140499,0.0898706613300186,-0.167946417228492,0.126214126114135
"13_1940",-0.0383802097787891,-0.00750381339236273,-0.301761858765889,-0.133196342250137
"13_1941",-0.0231397526588558,0.0555962528933867,-0.252648272610879,-0.0739102177432327
"13_1942",-0.0284501645491017,0.0610159658461038,-0.259247420222119,0.0404299175809052
"13_1943",-0.0150997328558604,0.0738428384468725,-0.215965555883655,0.0223168450915191
"13_1944",-0.0377590519956063,0.0629231857008046,-0.270954263758475,0.0658168754982951
"13_1945",-0.0384446814389099,0.0896611786134084,-0.177970796642794,0.150404974705981
"13_1946",-0.0813332739954498,0.0935034063357103,-0.209588542286347,-0.153861078590146
"13_1947",-0.0712383992944468,0.0615146986429744,-0.23937183571855,0.0364606722676752
"13_1948",-0.0909102132554992,0.050088599281502,-0.244540916077102,0.11388053257534
"13_1949",-0.0768437113914564,0.0293311554836652,-0.282780842190557,0.030531978079976
"14_1940",0.0546251806101298,-0.0604690241512499,-0.143648029366441,0.0182025590134641
"14_1941",0.0620494027503706,-0.0230877599162372,-0.0844981998857579,0.06807329328387
"14_1942",0.0650148900806367,0.0289792155699243,-0.0191024180614085,0.0207769145115101
"14_1943",0.070075258094202,0.0153292333528139,-0.00851076996642835,0.0390009517590998
"14_1944",0.030807093745525,0.0901835180425771,0.00480031249231338,-0.0225208654596607
"14_1945",-0.0312467929783269,0.123804852897775,-0.124998043779267,-0.0482890025829321
"14_1946",-0.05168300548389,0.146799328094661,-0.0563713651440584,-0.135868870139305
"14_1947",-0.00781496312140064,0.108438531892662,-0.122546823121918,-0.0387571650917591
"14_1948",-0.0158787007547642,0.132778731105659,-0.124639643502906,0.0207231779560516
"14_1949",-0.034364185573164,0.115142868823353,-0.176793968454336,-0.0137049950508863
"15_1940",-0.00248240190003618,-0.0995749810946091,-0.0651713670226207,-0.0192935513751679
"15_1941",-0.0667110251747986,-0.0411714860423648,-0.260531199199248,0.0265537266109672
"15_1942",0.0254569465421886,0.0438980728455722,-0.168655076029258,0.0392756574937849
"15_1943",0.0703893722959672,-0.0231527452795572,-0.0373650472453588,0.0809543619512181
"15_1944",0.0526279897513275,0.00538633596416155,-0.0481241416062802,-0.0389537182412032
"15_1945",-0.0362824713017909,0.01208021101286,-0.224678045160171,0.0948865713163857
"15_1946",0.0217091984474518,0.0336870682106172,-0.0533033621098052,0.0459673610670409
"15_1947",-0.0429030073359636,0.0766960147965952,-0.26028186153857,-0.0643166590422663
"15_1948",0.013967312575452,0.0806078571189079,-0.137257708408941,0.124277689945431
"15_1949",-0.0482618412783791,0.0838145697713943,-0.207490915031853,0.127764007123935
"18_1940",0.0325965994348081,-0.0108782531601384,-0.083460415929115,0.00109572463636972
"18_1941",-0.0280517671401701,0.0482159945771387,-0.183383990903032,-0.048272694424213
"18_1942",-0.0289920399148842,0.0769820725627382,-0.16754137654643,0.0563766174856952
"18_1943",-0.031869254402229,0.138058009203144,-0.0390910522139567,-0.0326890707737655
"18_1944",-0.0251351756701734,0.100591742572876,-0.137782440068333,0.050208303068208
"18_1945",-0.0286025494302989,0.0393829636708787,-0.226821080708674,-0.113278742960807
"18_1946",-0.0283176866150107,0.0844939648138044,-0.144900059988632,-0.309868594877418
"18_1947",-0.0544470078405357,0.119978532242272,-0.12995766818936,-0.124826937754111
"18_1948",-0.0513276221762359,0.116838951986138,-0.121537630354668,-0.0431154252044789
"18_1949",-0.0542435979283703,0.15193342955989,-0.0363453014448363,-0.131977176282525
"22_1940",0.0159739163004192,0.101349091633766,-0.0716857687866093,0.0616059057984607
"22_1941",0.015225571627464,0.108487241803844,-0.0218100262844467,0.0893095373135597
"22_1942",0.0247957450188208,0.112107935534102,0.0440179169996888,0.0482811331506898
"22_1943",0.00657435182403863,0.104077049236443,0.00421460825406352,0.168378722443931
"22_1944",0.027433516759782,0.0946842070408543,0.0672658530708675,-0.0183837777547898
"22_1945",-0.0440202202762622,0.13832938225843,-0.0703000391721701,0.130881658800054
"22_1946",-0.00979728640579956,0.122282075677752,-0.0903738499650267,0.0843467341965217
"22_1947",-0.0833267872028404,0.125626285665273,-0.107393748016819,0.209715590489666
"22_1948",-0.0104709653570141,0.133829198128377,-0.114716225886625,0.0977824977111896
"22_1949",-0.0420712441743462,0.127420750011223,-0.180805324614355,0.11881684916736
"23_1940",0.0588379422671471,-0.0290627362644512,-0.0861380627524721,0.0886001601200195
"23_1941",-0.0783250533305821,0.0368929291703569,-0.157796652140005,0.0738068809053299
"23_1942",0.0431225541724145,-0.00174397031014368,-0.181361833951544,0.0088653220043442
"23_1943",0.0789568608392784,-0.0404698271103557,-0.00422551283743548,0.00913708974348862
"23_1944",0.0742169724455769,-0.0313064552200457,-0.007011372616344,0.00519237831718527
"23_1945",-0.0512354715361891,-0.0291937125106782,-0.127505568199035,0.229618178379795
"23_1946",0.0429152895397965,-0.0231160283501323,-0.0943621333558614,0.051255147802556
"23_1947",-0.00131354666706521,0.0983681395984414,-0.0729748122779619,0.0830012484747048
"23_1948",0.0564692485975802,0.0204300660452666,-0.0998102779581374,0.0369734666807621
"23_1949",-0.0331630126970938,0.119839012756387,-0.143510890310485,-0.0149915209192204
"24_1940",0.0465295689260381,-0.10867048443888,0.0337648618833887,-0.0933636990383708
"24_1941",0.0260752489955132,0.0240276776443899,-0.0209520469784185,-0.104757355035759
"24_1942",-0.071966314679492,0.0728663253461539,-0.0808023585579792,-0.0851317951785137
"24_1943",0.07285453088137,-0.048917824856806,0.0885766011917845,0.00505975243385813
"24_1944",0.0695533115280129,-0.0516382913750045,0.0138461033036926,0.0365686560796589
"24_1945",0.0381542586807933,-0.02779798975905,-0.0149277077529029,-0.0225669841038547
"24_1946",-0.0139365450325937,-0.0160921614769713,0.021474961593197,0.238072302121099
"24_1947",0.0317760366959737,0.0887340820604635,0.0321655882295167,-0.0155831892592351
"24_1948",0.0692115873176086,-0.00412677464862302,-0.012559753785092,-0.0559984848895925
"24_1949",0.0401602173663175,0.063060936057791,-0.0624983157835237,-0.00142358899781743
"25_1940",0.00298834455876595,0.0476665087007649,-0.18737947602684,0.0145009951027667
"25_1941",-0.0426726968882281,0.030588996880661,-0.161818574175482,0.0924313976279393
"25_1942",-0.0735909847254597,0.0418099442861442,-0.120518576786133,0.190901177642
"25_1943",0.00826477868614547,0.0881777607807744,-0.0317071844605141,0.103914037462759
"25_1944",0.0197196104553066,0.0658709015879469,-0.0505005440754284,-0.0351319435794674
"25_1945",-0.0408635072549097,0.105541948188965,-0.161547104101777,-0.205888914069247
"25_1946",0.0131223379966875,0.0866063783896203,0.000646929077927619,-0.130400669587549
"25_1947",-0.0482010540544385,0.110727514988082,-0.18743285939492,-0.127047771637777
"25_1948",0.00306486724474271,0.112855828391042,-0.12536330637806,0.0345973897640638
"25_1949",-0.0108705099498687,0.0712575874239332,-0.219636073184208,0.130869025452704
"26_1940",-0.000901076531776992,0.0113686561881537,-0.270250773064529,-0.0501636133343852
