"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"4_1940",-0.00257797134665567,0.0439037462872015,-0.276662172270977,-0.0758266249108174,-0.284438726924284,-0.101178153769982,-0.142180220346484
"4_1941",-0.00789375570100852,0.0601441980667278,-0.263648733141629,-0.0818023612610843,-0.273231600610826,-0.0683002216478742,-0.243428477155405
"4_1942",-0.0136099178651907,0.113219514467144,-0.187293811228629,-0.0106648159358837,-0.181174563235175,-0.0868412052352251,-0.159544271476971
"4_1943",0.00418156275766387,0.0995852377175111,-0.153878109329894,0.0453374119645932,-0.102329689118275,-0.0731813014920588,-0.342779520830798
"4_1944",-0.0864912512854751,0.131034245435767,-0.154102311520045,-0.00820656320283905,-0.00655182682502514,0.0521661305540414,-0.231258320704845
"4_1945",-0.0908702012420113,0.0844870314002197,-0.234023520853752,-0.0739248136150155,-0.155245071267187,0.200909825248843,-0.172374033632213
"4_1946",-0.0662989992092051,0.0921152005980507,-0.256871278281343,-0.119955929787276,-0.113091893932148,0.153510486921661,-0.0672900902541831
"4_1947",-0.0823754107199607,0.069206057737395,-0.289208391500216,-0.0507356215163261,-0.0724748435357774,0.0150722508914931,-0.144834953485129
"4_1948",-0.0674305401896053,0.101057129706626,-0.269117058485093,-0.0638992846563418,-0.0772633704258297,-0.0488432520381295,-0.113182542634985
"4_1949",-0.0590368417945693,0.0842430639003827,-0.29609254066784,-0.058725670410325,-0.124131444430726,-0.032589496617317,-0.0764111397151582
"7_1940",0.00903251336394142,0.0116268823384923,-0.13066579082559,0.120477485281754,-0.17475242367433,0.0826720384813206,-0.39008106791158
"7_1941",-0.0164864453784538,0.0125435157422423,-0.161389427377285,0.14252996012507,-0.118496401168092,0.0547305956016628,-0.431770704387084
"7_1942",0.0322098404725878,0.0123947681163821,-0.122265779099417,0.174681929066917,0.0678100243801012,-0.0843551795202799,-0.382052615960074
"7_1943",0.00397823210739571,0.0561162306521549,-0.0800501435929026,0.182895376476494,0.0943325266460947,-0.0606418247258885,-0.382299681542598
"7_1944",0.00612219341965563,0.0780624479123793,-0.0994932995282997,0.108102684792429,0.102009740550902,0.168624908472975,-0.121679318976601
"7_1945",-0.0341178954870669,0.06090458429792,-0.078826709068224,0.145245273469983,-0.0922394869862191,0.286156527872676,-0.0686002274267975
"7_1946",-0.0492342270068382,0.0290444767875483,-0.0795227920834593,0.158091327451851,-0.0598751732027076,0.220378221479726,-0.197755178213586
"7_1947",-0.0620191671100992,0.0236259136507937,-0.125732837526055,0.174987447208806,-0.0665153629299752,0.180015810553308,-0.350664959945247
"7_1948",-0.0027444278458031,0.0739801722906261,-0.138277632345079,0.132351504869156,-0.0538960987258695,0.177267630344427,-0.253578353471822
"7_1949",-0.0645771027346902,0.0413617163554076,-0.174735322395652,0.158043918416627,-0.0845134908150001,0.140751646209118,-0.345430380694458
"8_1940",0.0188721399356073,0.0611979121487375,-0.119607675436152,0.127558986336136,-0.130531936179689,-0.295083791140767,-0.295419200115135
"8_1941",0.00713812019270914,0.101155797853776,-0.0876583699675443,0.0846183362379989,-0.1234304543858,-0.00566860664343323,-0.265167831732664
"8_1942",0.0123292062924319,0.108103899457791,0.0276092872941851,0.148315693470048,-0.0928714409937652,-0.228403441309109,-0.144041559301258
"8_1943",0.0292593001812071,0.0592438541955933,-0.0501777515023292,0.214247303371484,-0.0205901758210024,-0.172832614209645,-0.266484106204679
"8_1944",0.0672429255321161,-0.00107186744476036,-0.0591312965044311,0.0453084349795035,0.0932613625910876,-0.044679310719728,-0.0996669505377064
"8_1945",0.00487856981058595,0.0533318100320167,-0.145472232155993,0.143277922940654,0.0739230900110007,0.052396470920527,0.246029368482029
"8_1946",0.0303392994777015,0.0257642790838394,-0.167086929611312,-0.0280876635111296,0.039606734985318,0.00561265700711076,0.166507172602357
"8_1947",0.0224323419129276,0.034253199945858,-0.153627969955702,0.128741639249817,0.23007469553657,-0.154394102882345,0.0454817250472477
"8_1948",0.0403146434552553,0.0354672886926668,-0.161623364020751,0.0465615815030202,0.0258886670931524,-0.0780977784710131,0.0116148915726325
"8_1949",0.0328368945064079,0.04488039385565,-0.174428862031372,0.067290091796357,-0.0633135170382802,0.0522889227269127,-0.0108384668734194
"9_1940",-0.0475992593393971,0.0939054256035268,-0.082330333865118,-0.0207083969512347,-0.0914544387503074,-0.264623912419408,-0.407420530250632
"9_1941",-0.0738855416929198,0.0848091541156035,0.0183334736640918,0.100625995570231,-0.133839109085085,0.0106964189462477,-0.398415376343946
"9_1942",-0.0780445543733799,0.0996959007761814,0.0647954984873498,0.0776381793826245,-0.147459422169532,0.00573478405652981,-0.545416736618574
"9_1943",-0.060673534676015,0.0928272718438305,0.0557703247313546,0.208587579788287,-0.148725628273467,-0.00697619821059766,-0.486104175139088
"9_1944",-0.0260157475684478,0.110897684214422,-0.0640441584115999,0.147319223430966,0.0992766869443508,0.119063491295775,-0.320545976038059
"9_1945",-0.0184091513815513,0.0984878716932566,-0.018178812069453,0.0253863787200695,-0.161061949293145,0.334679938926601,-0.131603516392099
"9_1946",-0.0642999907250748,0.129465499412429,0.000963656246477877,0.0703776732046379,-0.0874063802778907,0.179988241514301,-0.0417077338078969
"9_1947",-0.0611182765818719,0.130469062515112,-0.0976784687364314,-0.0509763096584322,-0.128018384121139,-0.103606022642575,-0.198239754924566
"9_1948",-0.0209649707889806,0.105754057198421,-0.151631528860216,0.150372180352901,-0.101569211920319,0.0478788184977333,-0.144998912236846
"9_1949",-0.0727791011140499,0.0898706613300186,-0.167946417228492,0.126214126114135,-0.211006968877391,0.104259171221734,-0.315345673922376
