"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",17.624058654947
"2","Manage/Professional",1,"1990",16.4512073296303
"3","Tech/Sales/Admin",2,"1980",14.0682749804979
"4","Tech/Sales/Admin",2,"1990",12.3628648549737
"5","Service",3,"1980",8.42189263927795
"6","Service",3,"1990",6.7355639720689
"7","Farm/Fish/Forest",4,"1980",3.97278950865792
"8","Farm/Fish/Forest",4,"1990",8.31944271864052
"9","Production",5,"1980",11.4685756834795
"10","Production",5,"1990",12.4443541233591
"11","Operators",6,"1980",10.3453884304099
"12","Operators",6,"1990",10.0722947465447
