"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",10.5622123911543
"2","Manage/Professional",1,"1990",10.3267456728755
"3","Tech/Sales/Admin",2,"1980",6.8661591302256
"4","Tech/Sales/Admin",2,"1990",6.64968567644357
"5","Service",3,"1980",4.87798395630046
"6","Service",3,"1990",4.348717635991
"7","Farm/Fish/Forest",4,"1980",2.5265816600961
"8","Farm/Fish/Forest",4,"1990",5.01300446674595
"9","Production",5,"1980",7.69988535727134
"10","Production",5,"1990",7.95431678298425
"11","Operators",6,"1980",6.35865770754982
"12","Operators",6,"1990",5.56320895097979
