"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",17.7134315944015
"2","Manage/Professional",1,"1990",16.4815010970362
"3","Tech/Sales/Admin",2,"1980",14.1288169280492
"4","Tech/Sales/Admin",2,"1990",12.3822821208922
"5","Service",3,"1980",8.46283721604241
"6","Service",3,"1990",6.74812900073098
"7","Farm/Fish/Forest",4,"1980",3.99408250642365
"8","Farm/Fish/Forest",4,"1990",8.33203643894407
"9","Production",5,"1980",11.5131237343922
"10","Production",5,"1990",12.4663298470308
"11","Operators",6,"1980",10.389323873544
"12","Operators",6,"1990",10.0885494734481
