"","occupation","1digit occ","decade","mean_distance"
"1","Manage/Professional",1,"1980",10.5794164963115
"2","Manage/Professional",1,"1990",10.3433824433574
"3","Tech/Sales/Admin",2,"1980",6.87630546345271
"4","Tech/Sales/Admin",2,"1990",6.65936431773965
"5","Service",3,"1980",4.88565453582214
"6","Service",3,"1990",4.35568572564423
"7","Farm/Fish/Forest",4,"1980",2.53071318972201
"8","Farm/Fish/Forest",4,"1990",5.01953183839482
"9","Production",5,"1980",7.71139232691127
"10","Production",5,"1990",7.96686703131553
"11","Operators",6,"1980",6.36772811582605
"12","Operators",6,"1990",5.57092578429849
