period,occ1990dd_2digit,spitz_nr_analytic_C,spitz_nr_inter_C,spitz_r_cognitive_C,spitz_r_manual_C,spitz_nr_manual_C,occ1990dd_1digit,dissimilarity2_mp,N,wage
1990,11,.22017872,.2731494,.02101139,.0027999999,.026714366,3,.33798867,4841,9.8819513
1990,12,.20143828,.28140429,.024539405,.008980995,.039676428,3,.29823163,3174,10.393105
1990,13,.15233099,.72445828,.0101276,.013377193,.020893672,4,.60182118,2230,8.4859209
1990,14,.21494481,.31567082,.014153345,.01345366,.11089387,5,.58277923,8881,17.078466
1990,15,.23558314,.30443239,.02946998,.016938336,.062441822,5,.40041721,8802,16.509199
1990,16,.1053125,.25952381,.0089285718,0,.015178572,5,.85162789,338,19.430138
1990,17,.18801948,.21494651,.025306104,.011766578,.047999851,5,.35670355,7862,16.73942
1990,18,.18966882,.32472408,.024926202,.016006168,.041733753,6,.31599376,19354,12.791448
1990,19,.21077172,.30013445,.027023993,.011260465,.033389725,6,.41939899,18280,13.189301
1995,1,.60853952,.84176821,.042322546,.002191727,.043626014,1,.35547993,20651,25.537209
1995,2,.43223208,.56750149,.034725644,.00076926057,.018763397,1,.46205798,6945,20.99678
1995,3,.5592103,.45480725,.030299392,.002273144,.030516695,1,.82678157,22223,24.24444
1995,4,.4405632,.38726857,.028853988,.0094791651,.041499533,2,.66149539,7530,19.150934
1995,5,.2904219,.67973971,.024448501,.0045070476,.024674423,2,.2904025,21713,17.475224
1995,6,.28853303,.34828126,.070275448,.0034034732,.033048663,2,.3786433,25760,13.180034
1995,7,.17340142,.20361225,.0068523455,.0013741165,.084115602,3,.29808298,2618,8.2509546
1995,8,.41050783,.42711642,.055096023,.000082918734,.027802739,3,.35885698,1135,11.471263
1995,9,.14900078,.21276283,.017392091,.0027869449,.027489357,3,.028255479,7475,9.0408764
1995,10,.15654548,.19171605,.031452343,.0011592211,.015350568,3,.079409897,3972,10.137328
1995,11,.24319676,.3356173,.049817715,.0015535445,.061518192,3,.36841467,4394,10.087511
1995,12,.23308554,.42689812,.027524542,.0018005706,.03117156,3,.34133822,2989,11.350919
1995,13,.49579448,.45945537,.021556351,.00069444446,.047029715,4,.47060677,2147,9.5215435
1995,14,.32830349,.41113904,.031021819,.014336294,.12367619,5,.40330234,8049,17.379951
1995,15,.33026969,.38716713,.019686643,.0058738883,.04989171,5,.51498485,8374,16.726027
1995,16,.33978176,.31369048,.10277778,0,.01388889,5,.59881586,317,21.117943
1995,17,.35901785,.37167349,.047862105,.011120414,.041166358,5,.37843525,6540,16.938343
1995,18,.24844837,.30837366,.038520232,.012043198,.037384633,6,.42150772,15743,13.223354
1995,19,.32374281,.33918726,.036123715,.0074636675,.059345875,6,.44657192,16340,13.235597
