"","PC1","PC2","PC3","occ1990dd"
"1",-4.53535043887927,-7.308547837084,6.77540192161733,4
"2",-5.90333738048153,-5.71215186590115,4.50397813472647,7
"3",-6.84754343931601,-7.32508332755177,3.26588430714062,8
"4",-15.1902827094195,-5.71970863064016,9.55876589420889,9
"5",-7.16365581173283,-11.8278056695465,8.51560520019439,13
"6",1.05969446759159,-3.80520294390872,-1.1754179984513,14
"7",-4.88200295482675,-6.58035011800449,-0.334222523078249,15
"8",-3.28929121770176,-3.10530278174771,5.98574639540194,18
"9",-8.96438766915041,-2.49601091190418,3.17546140137668,22
"10",-0.550129752210972,-4.1892958820834,1.20723585040513,23
"11",4.55578757360104,0.2778319736776,-1.03496157257361,24
"12",-6.46143389688084,-5.80230034637277,3.01565775514112,25
"13",-13.2222256571575,-8.91340453597505,6.51643638309048,26
"14",4.19580480226543,1.54951505991812,1.1002523801176,28
"15",4.95249733206557,0.867301899160025,-0.382925566367894,29
"16",-3.19590790131334,-1.4168179429652,4.8794875948413,33
"17",0.632776222525886,-4.26267910131464,2.8870628460166,34
"18",1.9697351843562,3.94529658979761,-0.189383298669175,35
"19",0.474349366794643,-4.15145052033639,1.92987497864941,36
"20",-2.8607836204566,1.51649340380112,0.808456368232949,43
"21",-33.6927404891402,9.2180696470055,-3.01251708670101,44
"22",-30.6096319825471,5.48253804754088,-1.93590284280266,45
"23",-16.052618386995,3.1809512108761,0.744945407751683,47
"24",-24.9828665638635,3.16396010964924,-1.52385278271148,48
"25",-14.646518715887,5.77171989129194,0.154570994309366,53
"26",-20.9667654528655,6.24344115445758,-0.316036487707365,55
"27",-26.6366424233772,7.18637510220355,1.35632045307814,56
"28",-24.5836002305673,9.89218669586356,0.76896931796647,57
"29",-14.3888291826095,7.05997502042442,0.436907572592927,58
"30",-23.3157307640625,4.30965198489289,-1.52407255720266,59
"31",-25.875821667347,0.229575827964455,-2.31738994782606,64
"32",-27.804457291761,0.429624116489916,-0.829634126559246,65
"33",3.10583133164425,-0.887640207011037,-1.70749248538833,66
"34",-13.3984247774335,-1.71341568176366,-6.8090153986081,68
"35",-25.8835369401224,2.55262680531911,-7.01269967275756,69
"36",-12.1638584827314,-1.80974729341157,-5.5154292917832,73
"37",0.118174504827764,-1.49137381394876,-0.371196817081842,75
"38",-9.94067885233484,-3.74828843137441,-4.32155884250742,76
"39",-13.2337078559827,-2.40803097020051,-1.66258608263648,77
"40",-17.558080626,-3.31157285309497,-9.63723903973367,78
"41",-3.81726147534613,-3.12017857509732,3.12864426288668,79
