"","PC1","PC2","PC3"
"4_1980",-0.0496779420249736,-0.190614268389929,0.0141273610633728
"4_1981",-0.048124883464441,-0.185872860029771,0.0107050731188021
"4_1982",-0.0685825985705533,-0.157409896508855,0.00183954413095865
"4_1983",-0.0702953373886708,-0.148145373793271,-0.00713664447877318
"4_1984",-0.0773179690314211,-0.146876733358398,0.0365845419118778
"4_1985",-0.0840858948016523,-0.136750835747977,0.0527275050520488
"4_1986",-0.0514745042391254,-0.165972420488383,0.0266728174217486
"4_1987",-0.0452194211365193,-0.170774426333816,0.0157548150644139
"4_1988",-0.0186217722133588,-0.157613384177915,0.0227265394325721
"4_1989",-0.0489631927529582,-0.160034544545174,0.0314493696780944
"7_1980",-0.0490174649441456,-0.117975496923812,0.0148294402951957
"7_1981",-0.0554224434550127,-0.116123653310315,0.0146313507712868
"7_1982",-0.0774716628994216,-0.101676013550869,0.0348806646261406
"7_1983",-0.083194330526223,-0.103340313064048,0.0268920754699376
"7_1984",-0.0769221549524597,-0.11428450363405,0.0406788423022719
"7_1985",-0.0963080318191747,-0.0281732785939662,0.0939161088547432
"7_1986",-0.0545796597650553,-0.14520697166354,-0.00296366986502276
"7_1987",-0.0336651111874487,-0.148763139850099,-0.000858092690132701
"7_1988",-0.0199306346208234,-0.141896381595075,-0.00830625756460604
"7_1989",-0.0540035301405669,-0.150490420932806,0.0149308844282197
"8_1980",-0.0958050538655889,-0.107711266600965,0.120877531370041
"8_1981",-0.0960535408247448,-0.106329851922007,0.132533854636963
"8_1982",-0.111510599094356,-0.0667308078236491,0.100929248583466
"8_1983",-0.114793780060503,-0.0270849635745228,0.127672968100647
"8_1984",-0.107770333379081,-0.0739611085680606,0.137411982246458
"8_1985",-0.111040296241097,0.0361836674222645,0.164861579297506
"8_1986",-0.0759677199950022,-0.170244131509828,0.0780831464609844
"8_1987",-0.0888886619956562,-0.158138509451431,0.105226353631461
"8_1988",-0.0553231240594071,-0.190398201862327,0.0649840122891426
"8_1989",-0.0763084102316319,-0.172658420234623,0.107597859734463
"9_1980",-0.116293282274506,0.0542289355374145,0.0157219879537035
"9_1981",-0.115402407463624,0.0346951440017824,0.0249770360202103
"9_1982",-0.116405125481248,0.0741352547844784,0.075353634301297
"9_1983",-0.113629623013506,0.13648815673718,0.0988146070475633
"9_1984",-0.113881510767382,0.0743758569451953,0.10447439118522
"9_1985",-0.106337686719541,0.120858573275223,0.130693886382777
"9_1986",-0.115557065962787,-0.0167786945644387,0.0684875075108374
"9_1987",-0.0986420714859385,-0.103132106442175,-0.00505892523925198
"9_1988",-0.0845398895962496,-0.128267022505277,-0.0285012707170695
"9_1989",-0.105846810529437,-0.0677115141187784,0.0403904887966345
"13_1980",-0.048116760585871,-0.142234780887931,0.0486672804685608
"13_1981",-0.0544349143164003,-0.135250148389581,0.0523519391687881
"13_1982",-0.0669700619871287,-0.131238934514398,0.043000928918348
"13_1983",-0.0787650162357218,-0.114328512638482,0.0579944514585127
"13_1984",-0.0875070655481973,-0.0836540043273234,0.0692249148113452
"13_1985",-0.0895232030116837,-0.0600613851902723,0.0938735414647556
"13_1986",-0.0302916569550566,-0.145972569174045,0.0344170025778135
"13_1987",-0.0421528220813951,-0.145770863427473,0.0394625831086743
"13_1988",-0.0194892343785343,-0.142778612390595,0.0486798709729647
"13_1989",-0.0320419331003134,-0.14176780096374,0.0327192947413624
"14_1980",-0.0823163288249776,-0.140987386986161,0.181543109191584
"14_1981",-0.0733538859298945,-0.155832421910807,0.157358135386098
"14_1982",-0.0995379630177686,-0.11110371766988,0.165746993928414
"14_1983",-0.109199665219412,-0.0468149511278234,0.173897171185966
"14_1984",-0.100596359798729,-0.0501259948158996,0.226177121034084
"14_1985",-0.0926374511400012,-0.0542241905315215,0.240176656176296
"14_1986",-0.0667716405692032,-0.158035989202979,0.182987806941076
"14_1987",-0.059151484544061,-0.178913381766474,0.171894577540011
"14_1988",-0.0533528280389823,-0.180175960960614,0.15808036350085
"14_1989",-0.0718845889241326,-0.157365897047479,0.187916399381247
"15_1980",-0.0782924631351408,-0.149649875229513,0.148778422676007
"15_1981",-0.0820471002817066,-0.148287784526613,0.151001843168218
"15_1982",-0.0915735881146729,-0.137310063022308,0.135689657816343
"15_1983",-0.0946708690719195,-0.125143912991448,0.138492990806344
"15_1984",-0.10429153861474,-0.0763875020483701,0.169089949708669
"15_1985",-0.103771592725225,-0.0265633054031089,0.192826471974208
"15_1986",-0.0721954109598893,-0.172892230961453,0.140497143861627
"15_1987",-0.0712928286450936,-0.182720108365616,0.116776085915739
"15_1988",-0.0541167753667042,-0.188034460007718,0.134676456359647
"15_1989",-0.0664590035819051,-0.182541465402297,0.117584321286901
"18_1980",-0.012804022484706,-0.131064841415557,-0.0393476793925404
"18_1981",-0.00939212907787153,-0.138063256756451,0.00305815802133858
"18_1982",-0.0367141138574695,-0.146633373678015,-0.0220657841757695
"18_1983",-0.0292268954782154,-0.16105838746275,0.0335507732637451
"18_1984",-0.0597650516122966,-0.150954147374381,0.00103624341556691
"18_1985",-0.0546023980130273,-0.158617014342819,0.0307889175804602
"18_1986",0.0176755165212226,-0.114028687099264,0.00675111389162495
"18_1987",0.0108673323882162,-0.11729604693787,-0.00315508151652665
"18_1988",0.0225221172398568,-0.0972832879588545,-0.00448041794718503
"18_1989",0.0130939897704698,-0.123123936790842,0.032328479311481
"22_1980",-0.0715056161375233,-0.133909045708473,-0.116109586026979
"22_1981",-0.080767546721686,-0.123974739287487,-0.116571670587511
"22_1982",-0.083953673221255,-0.1476922968207,-0.0440284200934439
"22_1983",-0.0814157308335563,-0.152490452068335,-0.0495906929885018
"22_1984",-0.084357878514033,-0.158383109667841,0.00855726945733495
"22_1985",-0.0929381464505855,-0.13970150306548,0.00749608068936055
"22_1986",-0.0688307818886896,-0.165682728391407,-0.057026987566614
"22_1987",-0.0592334495001635,-0.164188271905072,-0.0836392311061043
"22_1988",-0.025363659680223,-0.163809276158754,-0.0716811737765783
"22_1989",-0.0584447528295926,-0.174273679445134,-0.0567568563682086
"23_1980",0.00884365892701755,-0.0884491867733461,0.0374191637163298
"23_1981",0.00412354091220077,-0.0858139317832857,0.00972616503498868
"23_1982",-0.0310217195315827,-0.11294236282674,0.0373138953173459
"23_1983",-0.0458668042696937,-0.13938997014894,0.0391661440428268
"23_1984",-0.0230281113220513,-0.129503473744056,-0.00950618512892983
"23_1985",-0.0805611462882833,-0.0874730267120695,0.0227485678498607
"23_1986",0.00758537238642295,-0.0789471425333676,0.0604849401712557
"23_1987",-0.00668521728077367,-0.0995070872677326,0.0318931563260147
"23_1988",-0.00331164910919058,-0.0893323765146272,0.0502531629794466
"23_1989",-0.007924890869968,-0.112783918779192,0.0250957422331383
"24_1980",0.0429122987884369,-0.0277783504791161,0.0442615617208239
"24_1981",0.0392982449298992,-0.03309506021537,0.00665813290632342
"24_1982",0.0384016930351286,-0.0587617862559628,0.0322798844561939
"24_1983",0.0241975582529244,-0.0957189303481026,0.0139164190966441
"24_1984",0.0305552249428234,-0.0748238839656426,0.0206064301760082
"24_1985",0.0423931552271167,-0.0359898667553006,0.0485761878919457
"24_1986",0.0374181863122195,-0.0503854737726147,0.0183065529091772
"24_1987",-0.00740164630766893,-0.150014801829699,0.0146027302063033
"24_1988",0.0381697225941316,-0.0599760195565396,0.025173705987236
"24_1989",0.0277195208557756,-0.0816724617995202,0.0106030131162851
"25_1980",-0.0509010552690664,-0.138619872584461,0.0144757087105115
"25_1981",-0.0615539158061771,-0.132713205993598,0.0223565739279996
"25_1982",-0.0667945462365371,-0.140518991196849,0.0120327106511729
"25_1983",-0.0814172419023962,-0.120518254504076,0.0155688440597606
"25_1984",-0.0693631320910912,-0.144802395332662,0.0395049689467833
"25_1985",-0.0806205168292066,-0.121489988274743,0.0774204947348237
"25_1986",-0.0422409220533529,-0.162140230254428,0.0256088161567999
"25_1987",-0.0366209469883355,-0.154201704655928,0.0186524071715079
"25_1988",-0.0124408404041937,-0.140387775368536,0.0135478016879104
"25_1989",-0.0425501804389051,-0.163396208990397,0.0326517678352881
"26_1980",-0.115564912865201,-0.0434736194412967,0.055532800350869
"26_1981",-0.115568241914878,-0.0363977074095355,0.0541683856817708
"26_1982",-0.114608898409122,-0.0534902299666817,0.0312747365429064
"26_1983",-0.116290846151592,-0.0401110434786306,0.0418137892269627
"26_1984",-0.122824400343483,0.0353963906691459,0.100080239438507
"26_1985",-0.102583255968591,0.137001873453264,0.161174891676116
"26_1986",-0.111166763052168,-0.0713157712326422,0.0583122666676295
"26_1987",-0.0999310295521395,-0.11703175112859,0.0401081938266958
"26_1988",-0.0684822194257804,-0.169457172479093,-0.0090203242198627
"26_1989",-0.105895713695881,-0.0905540271818647,0.0524953713567888
"28_1980",0.0530592670528343,0.0141035469567426,-0.0321834152481112
"28_1981",0.0557260065030039,0.020214762319881,-0.00349134506414224
"28_1982",0.0261979234871204,-0.0665544447608947,-0.0785008175385788
"28_1983",0.044284665082814,-0.0247353225258842,-0.0441557881830644
"28_1984",0.0318853078225229,-0.0256041032457513,-0.0806101559926656
"28_1985",-9.21094949188261e-05,-0.041216608025563,-0.134329614905016
"28_1986",0.0309301116566733,-0.0593145623046114,-0.0373542105419272
"28_1987",0.0396705997749381,-0.0572046665541876,0.0260811945069575
"28_1988",0.0372863183956262,-0.0408889582235332,-0.0438760174344302
"28_1989",0.0364362054916402,-0.0526835284589634,-0.00899860266321054
"29_1980",0.0219815705511755,-0.0669498234311296,-0.102984517291964
"29_1981",0.0267972836169745,-0.0662039615105128,-0.0772908060787304
"29_1982",0.0254686078224622,-0.0837595598569264,-0.0665601106449713
"29_1983",0.0238382869442799,-0.0879546872184053,-0.0640174389491736
"29_1984",0.031091083613113,-0.072186478135855,-0.0246158680887625
"29_1985",0.0311163081150125,-0.0854695797953515,0.00951801407452588
"29_1986",0.0425986047836601,-0.0380504184434791,-0.0347405586416238
"29_1987",0.04055139406433,-0.0546095235775134,0.0260770562656455
