"","PC1","PC2","PC3"
"4_1940",0.00315727146065917,0.0230714203602219,-0.0656242985472783
"4_1941",0.00458667035781011,0.0312388278912667,-0.0583926443342255
"4_1942",0.00599823578479719,0.0581368952884546,-0.043175956773888
"4_1943",0.00217301743214271,0.0523324003232754,-0.0410752599120912
"4_1944",0.0265148775632032,0.0703742754322056,-0.0104923706308164
"4_1945",0.0286779308361268,0.0495991666729738,-0.0311884403133124
"4_1946",0.0200132152808999,0.0491474329791866,-0.0372141711129031
"4_1947",0.0270666780999496,0.0396808701847898,-0.0455999571925044
"4_1948",0.0215572525419427,0.052746044380829,-0.0418981330953775
"4_1949",0.0196526659459246,0.0443742097530107,-0.0542586875798973
"4_1950",-0.000445419333098272,0.0270022496209512,-0.0601767741939473
"4_1951",0.000114077232534259,0.0409369174838697,-0.0581503604219293
"4_1952",0.00843340088921284,0.0525526886154254,-0.0573907972291728
"4_1953",0.0119468366648877,0.053042194981616,-0.0621090294007724
"4_1954",0.0137196229175687,0.0533182242784734,-0.0655469000059696
"4_1955",0.006819470924474,0.050728677698354,-0.0630295126568306
"4_1956",-0.00440294601959717,0.0453147589541464,-0.0526977656929821
"4_1957",0.00043411016646063,0.0394074623229111,-0.0666370076126982
"4_1958",0.0193910604836684,0.0683249117716443,-0.0553699880602277
"4_1959",0.0222667048590391,0.0656508131716776,-0.0586056819045711
"4_1960",0.00178939693955914,0.0438607353985582,-0.0670392605715759
"4_1961",0.0134420339816359,0.0495664002767135,-0.0788916096087579
"4_1962",-0.00680929728741993,0.0306800122564163,-0.0633773093745365
"4_1963",-0.00378641077927106,0.0373994716800843,-0.0647331114882841
"4_1964",0.0164431113755651,0.0463054212341983,-0.0843274139129265
"4_1965",0.0118941229636472,0.0466934602981988,-0.0857646009994523
"4_1966",-0.00788694992212852,0.0205426094863096,-0.0708662511884641
"4_1967",-0.00634414539370477,0.023245433575308,-0.073464027574872
"4_1968",0.00772245259043845,0.0395983028879951,-0.0875579343823149
"4_1969",0.00869708980680715,0.0358738980078866,-0.0919129112354159
"4_1970",-0.00614812125688722,0.0239312493436123,-0.0723957817516718
"4_1971",0.00435180491758139,0.0309345037171593,-0.0892729990115884
"4_1972",0.0131721495397337,0.0331212905934067,-0.0983731742372726
"4_1973",0.0130772224226412,0.0303378001414973,-0.0998134736612862
"4_1974",0.010993691144799,0.0283667929100777,-0.0995624571703897
"4_1975",0.00400413389129292,0.0232621007131341,-0.0955027561417341
"4_1976",0.00870862400350471,0.0232051394919281,-0.10191928935547
"4_1977",0.0120311804789242,0.0226149895589653,-0.106109835718238
"4_1978",0.0183297089661783,0.0252778703600411,-0.107516423769005
"4_1979",0.01826709446323,0.0175441774657992,-0.11189481144992
"4_1980",0.0216754095085708,0.015921900360181,-0.114758364088158
"4_1981",0.0212433308685647,0.0158946822097121,-0.113315850654477
"4_1982",0.0314395976383981,0.0131217993340922,-0.106813678380014
"4_1983",0.0324723828282575,0.0122361609493854,-0.103448908530331
"4_1984",0.0349307915368181,-0.00151671173192843,-0.106264428613361
"4_1985",0.037707590468506,-0.00845469892201271,-0.102260191783638
"4_1986",0.0238842825954783,0.00636784184414374,-0.113337245943689
"4_1987",0.0211161120934613,0.0105042990388288,-0.113319406067555
"4_1988",0.00963719553893991,0.00993536674125484,-0.106060719630812
"4_1989",0.0231647782349641,0.00436620352107908,-0.111883143149326
"4_1990",0.0334308279506853,-0.0143077429440096,-0.107679366230715
"4_1991",0.027856125327933,-0.0030400575981662,-0.112522048130635
"4_1992",0.0164725821121158,0.0038327692861287,-0.109992137707694
"4_1993",0.0226382607848601,-0.00290527434757924,-0.109774204681474
"4_1994",0.0331427222561303,-0.00543095411402348,-0.107473466760091
"4_1995",0.0440657477065272,-0.0392849727602288,-0.0727709831302989
"4_1996",0.0430399616369776,-0.0310781247978257,-0.0860221638299127
"4_1997",0.032937790869416,-0.00718531359852593,-0.107799859606109
"4_1998",0.0293495636747411,-0.00574954778366941,-0.111718757417928
"4_1999",0.0265037123742015,-0.002282177998345,-0.111836252609359
"4_2000",0.0438140324653905,-0.0467191188146217,-0.0729005963887481
"7_1940",0.00424440478323101,0.0193571221210729,-0.0544725016323049
"7_1941",0.0134064023944767,0.0212959518270897,-0.0519869727075858
"7_1942",-0.00253900009967091,0.0198747890181153,-0.04474417201086
"7_1943",0.00590377724170379,0.0426038771145949,-0.0306275803488874
"7_1944",0.00117364449193526,0.0497297772654221,-0.0247048830501708
"7_1945",0.0159066724301301,0.0489333203054314,-0.0261030038349557
"7_1946",0.0233220146972357,0.0382561351034422,-0.027639661973735
"7_1947",0.0287698022137029,0.0328184106081881,-0.04202308243909
"7_1948",0.0062215489844234,0.0487456655087347,-0.0497210260929864
"7_1949",0.028846563989129,0.0375606656359681,-0.0518844868447401
"7_1950",0.0195174474305357,0.0267835382128984,-0.0350882602784581
"7_1951",0.00402430967179384,0.0257307892139319,-0.0307816023501449
"7_1952",0.00225685195346445,0.0388924985099303,-0.0359917864175466
"7_1953",0.0159597477035238,0.0455796242759908,-0.0477887011726757
"7_1954",0.0230383850421421,0.0375699083926704,-0.047501870916597
"7_1955",0.013807617298365,0.047492903586905,-0.0509970288388034
"7_1956",0.00551085182185305,0.0217993164668505,-0.0435536015008787
"7_1957",0.00518814288815818,0.0211213151730813,-0.0335681141539845
"7_1958",0.0237523873086008,0.048193587043654,-0.046285268957741
"7_1959",0.0142272082170978,0.0462161099731874,-0.057194325384315
"7_1960",0.00690131497134024,0.0292495008586426,-0.0548082771884497
"7_1961",0.0216637831561245,0.0259865309407421,-0.056452898524483
"7_1962",0.00596732367652343,0.0181529425788062,-0.0408663552062475
"7_1963",0.00956874143839614,0.010643183414096,-0.0460515652071219
"7_1964",0.0226951070944398,0.0158948904964548,-0.0558277595448766
"7_1965",0.0179612208529025,0.0189159574978466,-0.0656033228787044
"7_1966",0.00597919413771847,0.00564122916423761,-0.0540355724660031
"7_1967",0.00646072193241204,0.00539385049749226,-0.0566784428548652
"7_1968",0.0181424063847862,0.0102825340297748,-0.0736253921661911
"7_1969",0.0217524849755343,0.00409735011780603,-0.0718356936891626
"7_1970",0.00636698108729765,-0.00588969354487926,-0.0593440263938905
"7_1971",0.0182648515722118,0.00369936272973158,-0.0749597372482496
"7_1972",0.0211883455557447,0.00150824080583971,-0.0752675226117565
"7_1973",0.0209895515321827,-0.0017471215315402,-0.0725565214782407
"7_1974",0.021621345972346,-0.00479571547495307,-0.0720844893122943
"7_1975",0.0126711346134178,-0.00337514994160613,-0.0687171674817071
"7_1976",0.0158816765104661,-0.00347750571098068,-0.0705735989519308
"7_1977",0.010153454492938,0.00202409251075265,-0.0696265867930229
"7_1978",0.0214413310219509,-0.00539884429169432,-0.0734223423582103
"7_1979",0.021843932078086,-0.00569978872744854,-0.0758428191107363
"7_1980",0.0217248790256406,-0.00523931640978176,-0.0764760214876056
"7_1981",0.0246176189123021,-0.00623163455395324,-0.0769400124216233
"7_1982",0.0344122697415782,-0.0145728374537923,-0.0760309411252744
"7_1983",0.036825393651962,-0.0137523075257919,-0.078378487568544
"7_1984",0.0339757250338342,-0.0149116800694127,-0.0833281656310421
"7_1985",0.0431402659020096,-0.0426103762431531,-0.0504736741386409
"7_1986",0.0240679616870988,0.00211181078799864,-0.0921699343905677
"7_1987",0.0148192130438645,0.00324956894918232,-0.0923994058806306
"7_1988",0.00895256669251914,0.00473034966302158,-0.0874842310544596
"7_1989",0.0237988133933695,-0.00221991532833378,-0.0968483400943597
