,codes,occupation
0,1,"Exec, Admin, and Managerial"
1,2,Management
2,3,Professional
3,4,Technicians
4,5,Sales
5,6,Admin
6,7,Cleaning
7,8,Protection
8,9,Food prep.
9,10,Health supp.
10,11,Building maintenance
11,12,Personal care
12,13,Farm/Fish/Forest
13,14,Mechanic/Repair
14,15,Construction
15,16,Extraction
16,17,Production
17,18,Machinists
18,19,Transport/Material moving
