"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"4_1960",0.00978567661586181,0.115165487247007,-0.215064374260586,0.243353824978863,0.0146026289004909,-0.0724424988949576,0.0404848076105035
"4_1961",0.0360550448587719,0.134763982061412,-0.2436036488349,0.22273142607873,-0.0540811080693448,-0.00368757104726148,-0.00617520319590345
"4_1962",-0.00943187312977969,0.0909066446161439,-0.186984169015469,0.154974081759388,-0.0834789805739452,-0.0207189592013508,0.065990390979232
"4_1963",-0.00222699328559012,0.104112817775634,-0.19024099011771,0.182045523262526,-0.138116775312848,0.0144796427018256,-0.0220111420078391
"4_1964",0.0425022192860911,0.132796345352421,-0.259289291332253,0.205206357313836,-0.0742249896710648,0.0189029665862144,-0.0409239924056253
"4_1965",0.0332317935254681,0.137641635776027,-0.243791626064589,0.121104244868004,-0.108472389275721,0.0397272511628362,0.00546550406810149
"4_1966",-0.0131014641565657,0.0746601503765882,-0.20574947036975,0.101815134946264,-0.194382856707192,0.0656782542635313,0.0821044986830261
"4_1967",-0.00920104304103179,0.0830315726260634,-0.208154798978562,0.0888594117486591,-0.158274746777735,0.018843899524615,0.100387266236882
"4_1968",0.0230698394875792,0.125496159432751,-0.238646684271407,0.100930605286241,-0.198070974316586,0.0800000535937921,0.0473323227048715
"4_1969",0.024531618559836,0.120326991864875,-0.253717886180534,0.118306366990091,-0.215236761163286,0.0791981164896354,0.0394331534586781
"7_1960",0.0231927491215841,0.0892851511566348,-0.153171726885736,-0.0363282351687011,-0.426126338921099,0.588656484563195,-0.0346359806068701
"7_1961",0.0556891403820307,0.0831081293724494,-0.168852499464319,-0.0193170072546583,-0.512347923415061,0.737369168984526,-0.0929950470879835
"7_1962",0.0209322883658622,0.0623397479746763,-0.11346658894255,-0.048489449634488,-0.494220737367926,0.710416384028799,-0.0828003413691279
"7_1963",0.0278130981179689,0.0493569468600552,-0.136941411253805,-0.0510411185037145,-0.52569167278843,0.782835299754729,-0.111605701452133
"7_1964",0.057742710074182,0.0646861158848,-0.171007548266952,-0.0635169920267437,-0.507244643810325,0.787183454209191,-0.169004909179091
"7_1965",0.046823073916022,0.0772014330677414,-0.189547539196376,-0.0601208483588462,-0.516581268788857,0.701687088533471,-0.156897807447207
"7_1966",0.0192468353653512,0.0447719187053477,-0.154199540470663,-0.0882511242045504,-0.54502887153431,0.726865549414134,-0.138994768431072
"7_1967",0.0201724191764719,0.0466451093609748,-0.160982862357071,-0.0920473653143166,-0.520676441439096,0.736296941408212,-0.121152634616708
"7_1968",0.0454422947284355,0.064582789677443,-0.210339039972752,-0.0856799513301271,-0.548311949585223,0.763667316612822,-0.126463157007215
"7_1969",0.0527807447132873,0.0508241532575514,-0.214819760141958,-0.0750585973100176,-0.552491589237871,0.810917569522622,-0.178786263722605
"8_1960",0.0784621118485068,0.135774526422253,-0.174947273014422,-0.0384746988072028,-0.254606951458103,0.0495990960567532,-0.0829704488123676
"8_1961",0.0235180519255066,0.123937021885261,-0.172920990883481,-0.095648039469122,-0.195610946500601,0.0737751938208771,0.100878085557958
"8_1962",-0.00628811951173137,0.0958180989728601,-0.124150895734826,-0.0351380476311665,-0.165166028698493,0.0736314187189988,0.0901006182666885
"8_1963",-0.0185291080917395,0.0592047809182093,-0.165132126329798,0.0106259266199499,-0.204141669487516,0.0470847084062737,0.0368918447101972
"8_1964",0.0292269609069508,0.118635675346146,-0.219868249027137,-0.0228277721159628,-0.209700982477988,0.180235689568598,0.156138701445138
"8_1965",0.0634711025081233,0.109157211577522,-0.232071614425674,-0.114044864456274,-0.255183060250414,0.159877193248894,-0.0330435911586002
"8_1966",0.00691284157405762,0.0739303969921743,-0.220615457053523,-0.0575654458700505,-0.258124252989855,0.197044312181543,0.13969439938097
"8_1967",0.00167519396419436,0.0640005402573711,-0.216202619547662,-0.0834027861427292,-0.26843940826454,0.225571210413187,0.113365650157297
"8_1968",0.06281747133301,0.0986320327310089,-0.253313158466589,-0.0806840554889549,-0.347229554724397,0.30158866770266,-0.0698772526958681
"8_1969",0.0336397690733124,0.0893355866017798,-0.255789181645646,-0.0585382460941824,-0.325445263374438,0.297622381164884,0.0528785555780142
"9_1960",0.110648838203631,0.0741370417615841,-0.0871553579169283,0.0839458540435839,-0.319193504374633,0.181642049226823,-0.10027561783675
"9_1961",0.107878132121574,0.0523516179134763,-0.191795260862366,-0.0162861283280896,-0.338361639026375,0.250996001989431,-0.434223617809795
"9_1962",0.0893528683101747,0.0981555537341312,-0.131017134162042,-0.0452267749202455,-0.294641353342592,0.2821091464674,-0.276506226124787
"9_1963",0.0889124005299041,0.106113897398743,-0.148512678387648,-0.0186570199610455,-0.314178263155637,0.192896463728899,-0.31585253060495
"9_1964",0.124840167938935,0.0426315834141931,-0.138063876642164,0.0211874344332004,-0.338100268741295,-0.0222044756880472,-0.442337995892847
"9_1965",0.111832451559607,0.0749981347565429,-0.172163784386383,0.00474114576117427,-0.318332365725808,0.104356903686955,-0.378272797199582
"9_1966",0.0912429672797499,0.112955387296684,-0.0936287544696923,0.000198556198400601,-0.293344743672962,0.246353987970695,-0.197426267478162
"9_1967",0.0781773670061039,0.115957443174957,-0.145209058683959,-0.00685271493960173,-0.3671607708787,0.28409575367461,-0.281007630143478
"9_1968",0.107670533812749,0.0642071716707885,-0.188588138694993,0.0224363443825583,-0.355745446330598,0.239705198351137,-0.396144447152654
"9_1969",0.107019130445397,0.0571543713238383,-0.212358930354776,0.0975385312391258,-0.258136354108663,0.192456670472114,-0.396551264712057
"13_1960",0.0393176071008085,0.0865751131621319,-0.29212806960164,0.300240334009501,0.00844162262665941,-0.0452118753429053,-0.0168352722718988
"13_1961",0.0406815230973772,0.0925291820391019,-0.297358311236877,0.273353367093996,0.0140572168603787,-0.0170258281851741,-0.0460490184846939
"13_1962",0.00547549647661741,0.0488056103123555,-0.273217500538785,0.313853977831444,0.0729766691540418,-0.143013825024094,0.0235929326418919
"13_1963",0.0156575676689941,0.0477898501228466,-0.298764577513758,0.309059381436315,0.0498909628698411,-0.0803575621242,0.00564242312998085
"13_1964",0.0446991550395514,0.0690772558731389,-0.326778862669569,0.286672770162782,0.0509187755612357,0.0393101739628482,-0.073536174084217
"13_1965",0.0381043019103891,0.0972677734887595,-0.305562120146105,0.240592846001624,-0.0233836144654058,-0.0299893257653289,-0.0582996127462648
"13_1966",0.00379714864861515,0.0420836871898181,-0.289431452525819,0.288836763785736,0.0385796675646799,-0.0936157797956628,0.0128757254216319
"13_1967",-0.00226308180316876,0.0495339030131685,-0.275333319594633,0.261847190464037,0.00843344493333877,-0.116282799871958,0.0108341220420045
"13_1968",0.0451391597619858,0.0979036459614705,-0.311827258066463,0.177517967041837,-0.129395683609312,0.0740257268682806,-0.0430311042988503
"13_1969",0.0261450349038158,0.0837231490918693,-0.300506624463008,0.258433072787277,-0.0828095546331336,-0.0179533767958884,-0.0162844905529238
"14_1960",-0.00125696452834702,0.106335301225947,-0.0786429434465567,-0.0687956926324846,0.0385038533468962,0.0144955106378252,0.221080115239381
"14_1961",-0.0301588108913433,0.0413475678745822,-0.0873099805678744,-0.0350862225488304,0.0762296593877339,-0.0532260291374285,0.292523708875122
"14_1962",-0.0328396273594176,0.0310814640240901,-0.0779728077250882,-0.0556774350301394,0.092340901381277,-0.0315396977328521,0.267728360426461
"14_1963",-0.0309716843806233,0.032719842558632,-0.0987095740728031,-0.0660120261955057,-0.0101034160980995,0.0333164648023008,0.18557321033901
"14_1964",-0.0259922970802312,0.0543565476666987,-0.129196440871036,0.0209864026149337,0.0377292378319852,-0.102086375315077,0.101863423549038
"14_1965",-0.0254712449737718,0.0463299274138314,-0.154618698722666,-0.00430974297518864,0.0140107000264757,-0.048810350705337,0.266497866339521
"14_1966",-0.0291867051898066,0.0190116295053453,-0.121081300636785,-0.129835661690256,0.0100211018505312,-0.00766225191907027,0.340960137134012
